SPP,year,RDST,chan,code,tagdate,julian,WQMT ,PIT,Fate,,,fatereach,origin,reaches,rand,n,ttp,Tmean,Tstd,Tmax,Tmin,max-min,DD,n >=20,DDT20,% >=20
SP,2000,3610A,25,254,5/27/00,148,14.8,LGRRBR,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.69357322,660,13.75,15.12,0.37,16.72,14.14,2.58,208,0,0.00,0.0
SP,2000,3711A,25,257,5/26/00,147,14.7,BONAFF,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.748300475,489,10.1875,14.51,0.60,17.09,12.98,4.11,148,0,0.00,0.0
SP,2000,3758A,25,210,5/30/00,151,15,BONAFF,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.5975523,834,17.375,15.49,0.50,17.36,14.47,2.89,269,0,0.00,0.0
SP,2000,3761A,25,229,5/29/00,150,15,BONAFF,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.048233187,555,11.5625,15.17,0.59,18.47,14.23,4.24,175,0,0.00,0.0
SP,2000,3769A,25,236,5/31/00,152,14.7,BONAFF,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.928457984,1045,21.77083333,16.03,0.77,18.42,13.39,5.03,349,0,0.00,0.0
SP,2000,3787A,25,249,5/30/00,151,15,BONAFF,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.61577667,828,17.25,15.30,0.44,16.79,14.13,2.66,264,0,0.00,0.0
SP,2002,2597A,24,441,4/29/02,119,10.2,LGRRRR,Salmon,SAL-1383.1,sal,8,SNRfish,0,0.958947803,970,20.20833333,11.13,0.56,12.98,10.41,2.57,225,0,0.00,0.0
SP,2002,2642A,25,390,4/8/02,98,7.9,CLEARC,Clearwater,KFH-CWR,kfh,8,SNRfish,0,0.688910413,1188,24.75,9.59,0.65,12.45,6.80,5.65,237,0,0.00,0.0
SP,2002,2762A,24,359,5/2/02,122,10.6,LGRRRR,Salmon,ELK-MFS,mfs,8,SNRfish,0,0.588886154,900,18.75,11.20,0.63,13.55,10.26,3.29,210,0,0.00,0.0
SP,2002,2781A,24,71,4/25/02,115,9.9,MARTRP,Salmon,MARW-MFS,mfs,8,SNRfish,0,0.885725779,611,12.72916667,10.38,0.50,13.13,9.56,3.57,132,0,0.00,0.0
SP,2002,2787A,24,364,5/2/02,122,10.6,MARTRP,Salmon,KNP-MFS,mfs,8,SNRfish,0,0.723572822,962,20.04166667,11.37,0.69,14.32,10.00,4.32,228,0,0.00,0.0
SP,2002,2806A,24,369,4/25/02,115,9.9,KOOS,Clearwater,CWR,cwr,8,SNRfish,0,0.939173743,761,15.85416667,10.33,0.45,12.44,9.25,3.19,164,0,0.00,0.0
SP,2002,2974A,24,387,4/24/02,114,9.8,LGRRRR,GrandeRonde,GRR,grr,8,SNRfish,0,0.025922713,1040,21.66666667,10.42,0.41,12.14,9.67,2.47,226,0,0.00,0.0
SP,2002,2987A,25,444,4/10/02,100,8.4,REDTRP,Clearwater,SFC,sfc,8,SNRfish,0,0.743863875,1274,26.54166667,9.80,0.68,12.93,8.53,4.40,260,0,0.00,0.0
SP,2002,2992A,25,368,4/11/02,101,8.6,GRANDR,GrandeRonde,GRR,grr,8,SNRfish,0,0.613382484,1189,24.77083333,9.72,0.66,11.85,8.41,3.44,241,0,0.00,0.0
SP,2002,2995A,24,368,4/23/02,113,9.9,GRANDR,GrandeRonde,WAL,wal,8,SNRfish,0,0.783551056,954,19.875,10.40,0.42,12.46,9.67,2.79,207,0,0.00,0.0
SP,2002,3005A,24,358,4/23/02,113,9.9,BONAFF,Salmon,RRR-LIT,lit,8,SNRfish,0,0.752986918,798,16.625,10.29,0.50,17.90,9.13,8.77,171,0,0.00,0.0
SP,2002,3016A,25,28,4/9/02,99,8.3,SNKTRP,Salmon,RRT-LIT,lit,8,SNRfish,0,0.955368997,1142,23.79166667,9.53,0.66,12.85,8.33,4.52,227,0,0.00,0.0
SP,2002,3076A,25,387,4/16/02,106,9.5,LGRRRR,Salmon,RRR-LIT,lit,8,SNRfish,0,0.177582377,898,18.70833333,9.92,0.56,11.28,8.51,2.77,186,0,0.00,0.0
SP,2002,3078A,24,459,4/23/02,113,9.9,BONAFF,Salmon,LIT,lit,8,SNRfish,0,0.103714416,1468,30.58333333,10.90,0.79,14.51,9.41,5.10,333,0,0.00,0.0
SP,2002,3092A,24,131,4/24/02,114,9.8,LOOKGC,GrandeRonde,LGH-GRR,lok,8,SNRfish,0,0.710476066,1385,28.85416667,10.70,0.74,14.18,9.78,4.40,309,0,0.00,0.0
SP,2002,3109A,24,363,5/1/02,121,10.5,LGRRBR,Salmon,BVC-MFS,mfs,8,SNRfish,0,0.674077951,1208,25.16666667,11.61,1.29,19.33,9.62,9.71,292,0,0.00,0.0
SP,2002,3114A,25,58,4/11/02,101,8.6,BONAFF,Clearwater,CWR,cwr,8,SNRfish,0,0.533602125,1073,22.35416667,9.50,0.64,12.42,8.24,4.18,212,0,0.00,0.0
SP,2002,3118A,25,399,4/11/02,101,8.6,BONAFF,Clearwater,NFC,nfc,8,SNRfish,0,0.201257312,1287,26.8125,9.62,0.74,12.35,8.27,4.08,258,0,0.00,0.0
SP,2002,3271A,24,365,4/23/02,113,9.9,BONAFF,Salmon,LSR,lit,8,SNRfish,0,0.77657844,906,18.875,10.36,0.46,12.20,9.26,2.94,196,0,0.00,0.0
SP,2002,3284A,25,356,5/27/02,147,13.7,LGRRRR,GR-dam,GRT-H,grt,8,SNRfish,0,0.175117498,570,11.875,13.60,0.62,15.20,12.57,2.63,162,0,0.00,0.0
SP,2002,3535A,25,370,5/21/02,141,12.8,LGRRRR,Salmon,SFS,sfs,8,SNRfish,0,0.515040755,760,15.83333333,13.22,0.58,15.67,11.78,3.89,209,0,0.00,0.0
SP,2002,3551A,24,360,4/29/02,119,10.2,LGRRBR,Salmon,CAP-MFS,mfs,8,SNRfish,0,0.138674652,858,17.875,10.84,0.42,12.84,10.06,2.78,194,0,0.00,0.0
SP,2002,3577A,24,361,5/1/02,121,10.5,IMNTRP,Imnaha,IMR,imr,8,SNRfish,0,0.155181259,858,17.875,11.09,0.55,12.89,10.19,2.70,198,0,0.00,0.0
SP,2002,3589A,25,451,4/22/02,112,10,MEADOC,Clearwater,LOC,loc,8,SNRfish,0,0.538444501,972,20.25,10.30,0.43,11.62,9.23,2.39,209,0,0.00,0.0
SP,2002,3705A,25,336,5/27/02,147,13.7,LGRRBR,GR-dam,GRT-H,grt,8,SNRfish,0,0.141308993,1146,23.875,14.53,0.58,16.34,13.05,3.29,347,0,0.00,0.0
SP,2002,3710A,25,367,4/17/02,107,9.7,LGRRRR,Clearwater,LOC,loc,8,SNRfish,0,0.665680762,1335,27.8125,10.36,0.39,12.76,9.69,3.07,288,0,0.00,0.0
